Resistor Values For A Current of [2ma]

	                 red                blue               white              yellow               green
3.3	       680 (2.06) ma        91 (2.20) ma        47 (2.13) ma       510 (2.35) ma       510 (2.16) ma
5	      1.5k (2.07) ma       910 (2.09) ma       820 (2.20) ma      1.2k (2.42) ma      1.2k (2.33) ma
6	        2k (2.05) ma      1.2k (2.42) ma      1.2k (2.33) ma      1.5k (2.60) ma      1.5k (2.53) ma
7	      2.2k (2.32) ma      1.5k (2.60) ma      1.5k (2.53) ma      2.2k (2.23) ma      2.2k (2.18) ma
8	        3k (2.03) ma      2.2k (2.23) ma      2.2k (2.18) ma      2.7k (2.19) ma      2.7k (2.15) ma
9	      3.3k (2.15) ma      2.7k (2.19) ma      2.7k (2.15) ma      3.3k (2.09) ma      3.3k (2.06) ma
10	      3.9k (2.08) ma      3.3k (2.09) ma      3.3k (2.06) ma      3.9k (2.03) ma      3.9k (2.00) ma
11	      3.9k (2.33) ma      3.9k (2.03) ma      3.9k (2.00) ma      3.9k (2.28) ma      3.9k (2.26) ma
12	      4.7k (2.15) ma      3.9k (2.28) ma      3.9k (2.26) ma      4.7k (2.11) ma      4.7k (2.09) ma
13	      5.1k (2.18) ma      4.7k (2.11) ma      4.7k (2.09) ma      5.1k (2.14) ma      5.1k (2.12) ma
14	      5.1k (2.37) ma      5.1k (2.14) ma      5.1k (2.12) ma      5.1k (2.33) ma      5.1k (2.31) ma
15	      6.2k (2.11) ma      5.1k (2.33) ma      5.1k (2.31) ma      6.2k (2.08) ma      6.2k (2.06) ma
16	      6.8k (2.07) ma      6.2k (2.08) ma      6.2k (2.06) ma      6.8k (2.04) ma      6.8k (2.03) ma
17	      7.5k (2.01) ma      6.8k (2.04) ma      6.8k (2.03) ma      6.8k (2.19) ma      6.8k (2.18) ma
18	      7.5k (2.15) ma      6.8k (2.19) ma      6.8k (2.18) ma      7.5k (2.12) ma      7.5k (2.11) ma
19	      8.2k (2.09) ma      7.5k (2.12) ma      7.5k (2.11) ma      8.2k (2.06) ma      8.2k (2.05) ma
20	      8.2k (2.21) ma      8.2k (2.06) ma      8.2k (2.05) ma      8.2k (2.18) ma      8.2k (2.17) ma
21	      9.1k (2.10) ma      8.2k (2.18) ma      8.2k (2.17) ma      9.1k (2.08) ma      9.1k (2.07) ma
22	       10k (2.01) ma      9.1k (2.08) ma      9.1k (2.07) ma      9.1k (2.19) ma      9.1k (2.18) ma
23	       10k (2.11) ma      9.1k (2.19) ma      9.1k (2.18) ma       10k (2.09) ma       10k (2.08) ma
24	       10k (2.21) ma       10k (2.09) ma       10k (2.08) ma       10k (2.19) ma       10k (2.18) ma
25	       10k (2.31) ma       10k (2.19) ma       10k (2.18) ma       10k (2.29) ma       10k (2.28) ma
26	       12k (2.01) ma       10k (2.29) ma       10k (2.28) ma       10k (2.39) ma       10k (2.38) ma
27	       12k (2.09) ma       10k (2.39) ma       10k (2.38) ma       12k (2.08) ma       12k (2.07) ma
28	       12k (2.17) ma       12k (2.08) ma       12k (2.07) ma       12k (2.16) ma       12k (2.15) ma
29	       12k (2.26) ma       12k (2.16) ma       12k (2.15) ma       12k (2.24) ma       12k (2.23) ma
30	       12k (2.34) ma       12k (2.24) ma       12k (2.23) ma       12k (2.33) ma       12k (2.32) ma

